Player Name,Club,Nationality,Position,Appearances,Minutes,Goals,Assists,Shots,Shots On Target,SOT%,Conversion %,Big Chances Missed,Hit Woodwork,Offsides,Touches,Passes,Successful Passes,Passes%,Crosses,Successful Crosses,Crosses %,fThird Passes,Successful fThird Passes,fThird Passes %,Through Balls,Carries,Progressive Carries,Carries Final Third,Carries Pen Area,Passes to Pen Area,Crosses to Pen Area
Aaron Ramsdale,Arsenal,eng ENG,GK,38,3420,0,0,0,0,,,,,2,1196,1111,761,68.5,0,,,30,,,0,722,0,,0,2,0
Gabriel Magalhães,Arsenal,br BRA,DF,38,3409,3,0,32,9,28.1,9.38,,,4,2776,2411,2155,89.4,5,,,171,,,1,1745,18,,3,3,0
Bukayo Saka,Arsenal,eng ENG,FW,38,3181,14,11,86,29,33.7,16.28,,,2,1882,1430,1054,73.7,172,,,50,,,2,1191,179,,84,66,12
Martin Ødegaard,Arsenal,no NOR,MF,37,3127,15,7,93,31,33.3,16.13,,,11,2100,1804,1449,80.3,91,,,135,,,23,1284,83,,26,91,4
Ben White,Arsenal,eng ENG,DF,38,3055,2,5,10,2,20.0,20.0,,,6,2533,2242,1888,84.2,57,,,226,,,6,1448,64,,3,42,12
Granit Xhaka,Arsenal,ch SUI,MF,37,2993,7,7,40,14,35.0,17.5,,,3,1891,1632,1382,84.7,39,,,148,,,6,1113,42,,9,40,4
Gabriel Martinelli,Arsenal,br BRA,FW,36,2789,15,5,79,30,38.0,18.99,,,6,1490,1107,833,75.2,113,,,33,,,8,1019,124,,70,43,10
Thomas Partey,Arsenal,gh GHA,MF,33,2483,3,0,28,4,14.3,10.71,,,3,2267,1985,1731,87.2,9,,,231,,,11,1398,34,,3,24,2
William Saliba,Arsenal,fr FRA,DF,27,2415,2,1,6,3,50.0,33.33,,,0,2056,1865,1698,91.0,1,,,111,,,0,1323,13,,1,3,0
Oleksandr Zinchenko,Arsenal,ua UKR,DF,27,2118,1,2,28,7,25.0,3.57,,,5,2112,1911,1652,86.4,37,,,201,,,6,1263,67,,8,41,4
